"Trondheim, Norway",2,Saturday 3:00 PM
"Madrid, Spain",13,Saturday 3:00 PM
"Barcelona, Spain",11,Saturday 3:00 PM
"Seville, Spain",15,Saturday 3:00 PM
"Lisbon, Portugal",18,Saturday 2:00 PM
"Porto, Portugal",15,Saturday 2:00 PM
"Funchal, Portugal",19,Saturday 2:00 PM
"Athens, Greece",17,Saturday 4:00 PM
"Thessaloniki, Greece",15,Saturday 4:00 PM
"Heraklion, Greece",17,Saturday 4:00 PM
"New York, NY, USA",2,Saturday 9:00 AM
"Los Angeles, CA, USA",13,Saturday 6:00 AM
"Chicago, IL, USA",-1,Saturday 8:00 AM
"Houston, TX, USA",3,Saturday 8:00 AM
"Phoenix, AZ, USA",3,Saturday 7:00 AM
"Philadelphia, PA, USA",2,Saturday 9:00 AM
"San Antonio, TX, USA",6,Saturday 8:00 AM
"San Diego, CA, USA",12,Saturday 6:00 AM
"Dallas, TX, USA",3,Saturday 8:00 AM
"Jacksonville, FL, USA",8,Saturday 9:00 AM
"San Francisco, CA, USA",8,Saturday 6:00 AM
"Seattle, WA, USA",1,Saturday 6:00 AM
"Denver, CO, USA",0,Saturday 7:00 AM
"El Paso, TX, USA",-1,Saturday 7:00 AM
"Washington, DC, USA",2,Saturday 9:00 AM
"Boston, MA, USA",2,Saturday 9:00 AM
"Nashville, TN, USA",-2,Saturday 8:00 AM
"Detroit, MI, USA",-3,Saturday 9:00 AM
"Miami, FL, USA",26,Saturday 9:00 AM
"Minneapolis, MN, USA",-7,Saturday 8:00 AM
"Albuquerque, NM, USA",-5,Saturday 7:00 AM
"Honolulu, HI, USA",21,Saturday 4:00 AM
"Pittsburgh, PA, USA",-3,Saturday 9:00 AM
"Las Vegas, NV, USA",6,Saturday 6:00 AM
"Baltimore, MD, USA",2,Saturday 9:00 AM
"Atlanta, GA, USA",0,Saturday 9:00 AM
"Aspen, CO, USA",-9,Saturday 7:00 AM
"Sioux Falls, SD, USA",-5,Saturday 8:00 AM
"New Orleans, LA, USA",2,Saturday 8:00 AM
"Mobile, AL, USA",1,Saturday 8:00 AM
"Little Rock, AR, USA",-1,Saturday 8:00 AM
"Richmond, VA, USA",1,Saturday 9:00 AM
"New Haven, CT, USA",2,Saturday 9:00 AM
"Portland, OR, USA",2,Saturday 6:00 AM
"Madison, WI, USA",-4,Saturday 8:00 AM
"Jackson, MS, USA",-2,Saturday 8:00 AM
"St. Louis, MO, USA",0,Saturday 8:00 AM
"Jersey City, NJ, USA",2,Saturday 9:00 AM
"Oklahoma City, OK, USA",2,Saturday 8:00 AM
"Omaha, NE, USA",-3,Saturday 8:00 AM
"Vancouver, BC, Canada",2,Saturday 6:00 AM
